timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2024-07-23,67532.0000000000,67750.9800000000,65441.0800000000,65936.0100000000,31406.1531600000,4793.9877714200,0.4446643600,0.0051269500,61.2385522300,0.0000031000
2024-07-24,65936.0000000000,67102.0100000000,65111.0000000000,65376.0000000000,23082.5627700000,2275.0188149700,0.4458256300,0.0100000000,11.7814902800,0.0000006000
2024-07-25,65376.0100000000,66175.4900000000,63456.7000000000,65799.9500000000,35126.4293400000,8438.8899735400,0.5079587500,0.0100000000,23.7356943900,0.0000012000
2024-07-26,65799.9500000000,68200.0000000000,65722.6300000000,67907.9900000000,24244.3602300000,-1320.5524564400,0.3552840900,0.0071909500,10.5688798800,0.0000005400
2024-07-27,67908.0000000000,69399.9900000000,66650.0000000000,67896.5000000000,31710.2192100000,79.2345549900,0.4285537000,0.0084882200,14.5202236700,0.0000007400
2024-07-28,67896.4900000000,68318.4300000000,67066.6600000000,68249.8800000000,10868.6939400000,450.9284807100,0.4059482200,0.0069371200,12.7698125200,0.0000006500
2024-07-29,68249.8800000000,70079.9900000000,66428.0000000000,66784.6900000000,36467.2963300000,-1660.9274029500,0.4021480600,0.0073419200,17.8519331100,0.0000009000
2024-07-30,66784.6800000000,67000.0000000000,65302.6700000000,66188.0000000000,23132.2544100000,-2400.4538110400,0.3579502100,0.0050407400,51.1235364600,0.0000025900
2024-07-31,66188.0000000000,66849.2400000000,64530.0000000000,64628.0000000000,22625.4390500000,-982.5043480400,0.4135184300,0.0054990800,7.0563700800,0.0000003600
2024-08-01,64628.0100000000,65659.7800000000,62302.0000000000,65354.0200000000,35542.2685400000,2573.8643187700,0.4334186000,0.0093761700,17.7435123900,0.0000009000
2024-08-02,65354.0200000000,65596.1400000000,61230.0100000000,61498.3300000000,38820.4293700000,1825.4211165000,0.3760740800,0.0100000000,7.2727647800,0.0000003700
2024-08-03,61498.3400000000,62198.2200000000,59850.0000000000,60697.9900000000,28034.7156700000,1415.9494277500,0.4035948500,0.0089196600,15.6644342700,0.0000007900
2024-08-04,60697.9900000000,61117.6300000000,57122.7700000000,58161.0000000000,31616.5200300000,564.3989212700,0.3982220000,0.0091498900,11.2340183200,0.0000005700
2024-08-05,58161.0000000000,58305.5900000000,49000.0000000000,54018.8100000000,162065.5918600000,3530.3085656300,0.1823467600,0.0039362000,25.9530223500,0.0000013200
2024-08-06,54018.8200000000,57040.9900000000,53950.0000000000,56022.0100000000,55884.7767600000,-1734.9124556500,0.3398306900,-0.0007606500,5.9968134200,0.0000003000
2024-08-07,56022.0000000000,57736.0500000000,54558.6200000000,55134.1600000000,44269.3768400000,337.5451738100,0.4735407700,0.0002117000,18.1870419400,0.0000009200
2024-08-08,55133.7600000000,62745.1400000000,54730.0000000000,61685.9900000000,48349.5294900000,1256.5849921400,0.3730455600,0.0018782000,7.9799113100,0.0000004000
